"Datos 1:Long. de Onda(nm)","Datos 1:Absorbancia","Datos 2:Long. de Onda(nm)","Datos 2:Absorbancia","Datos 3:Long. de Onda(nm)","Datos 3:Absorbancia","Datos 4:Long. de Onda(nm)","Datos 4:Absorbancia","Datos 5:Long. de Onda(nm)","Datos 5:Absorbancia","Datos 6:Long. de Onda(nm)","Datos 6:Absorbancia"
380.30000000000001,0.024574352536980371,380.30000000000001,0.082943469213218934,380.30000000000001,0.15773368418699873,380.30000000000001,0.15338996122359183,380.30000000000001,0.20904977489170262,380.30000000000001,0.2026882583766243
381.39999999999998,0.029263894922559874,381.39999999999998,0.08616687649983823,381.39999999999998,0.16569902270709691,381.39999999999998,0.16582093946422827,381.39999999999998,0.22573810352470058,381.39999999999998,0.21250446889370478
382.60000000000002,0.031362169100662252,382.60000000000002,0.086789025220416427,382.60000000000002,0.17990871483958304,382.60000000000002,0.17280077193436005,382.60000000000002,0.24178757325498323,382.60000000000002,0.23722065076956178
383.69999999999999,0.029823673246779814,383.69999999999999,0.085424109006133397,383.69999999999999,0.188362651361351,383.69999999999999,0.18061164241327732,383.69999999999999,0.25071250804908818,383.69999999999999,0.2475940401277148
384.80000000000001,0.025803862786445642,384.80000000000001,0.082304053781035336,384.80000000000001,0.18574463352194548,384.80000000000001,0.1802181124521216,384.80000000000001,0.25320023162489314,384.80000000000001,0.25082472222450725
385.89999999999998,0.02849851487551569,385.89999999999998,0.083137853738707523,385.89999999999998,0.18488461894234076,385.89999999999998,0.18601091833648842,385.89999999999998,0.25985499484517138,385.89999999999998,0.25303395361357595
387.10000000000002,0.024690414083335721,387.10000000000002,0.081096963503988651,387.10000000000002,0.1832118024523246,387.10000000000002,0.19259849222663816,387.10000000000002,0.26998942008077376,387.10000000000002,0.25668752934781125
388.19999999999999,0.019387224798789626,388.19999999999999,0.072449661412157917,388.19999999999999,0.18385292456780755,388.19999999999999,0.19851898117461331,388.19999999999999,0.27424874123263021,388.19999999999999,0.25969685548053811
389.30000000000001,0.0069047852341004301,389.30000000000001,0.061751255783452974,389.30000000000001,0.17911717234716984,389.30000000000001,0.19976507435122048,389.30000000000001,0.27893197610724418,389.30000000000001,0.25933613425159607
390.39999999999998,-0.0040110425999126953,390.39999999999998,0.051622420796432866,390.39999999999998,0.1699653191514845,390.39999999999998,0.19872000989252836,390.39999999999998,0.27853107470286775,390.39999999999998,0.25693669599913349
391.60000000000002,-0.012363435004260293,391.60000000000002,0.045818044883595199,391.60000000000002,0.16471426846180792,391.60000000000002,0.19945565175252922,391.60000000000002,0.28100809392222303,391.60000000000002,0.25848318339623244
392.69999999999999,-0.015866373629255026,392.69999999999999,0.043353158618834486,392.69999999999999,0.16203127455283406,392.69999999999999,0.2024279109119782,392.69999999999999,0.28630213340266031,392.69999999999999,0.26129372698825448
393.80000000000001,-0.015388273609048042,393.80000000000001,0.043251670484266702,393.80000000000001,0.16267649547790985,393.80000000000001,0.2050723763031792,393.80000000000001,0.29245965958145748,393.80000000000001,0.26622851246365586
394.89999999999998,-0.014332950913717113,394.89999999999998,0.044492589544382621,394.89999999999998,0.16324328706206481,394.89999999999998,0.2072145620735617,394.89999999999998,0.29720865704605126,394.89999999999998,0.2697376326410732
396.10000000000002,-0.014115603784601305,396.10000000000002,0.046197099720335144,396.10000000000002,0.16407851813709651,396.10000000000002,0.20996666069553149,396.10000000000002,0.30082716065300663,396.10000000000002,0.27435658907011606
397.19999999999999,-0.013467688067287931,397.19999999999999,0.048632321388548005,397.19999999999999,0.16615719029532561,397.19999999999999,0.21450438984812847,397.19999999999999,0.30561280476753461,397.19999999999999,0.27957707579999069
398.30000000000001,-0.010950708508588036,398.30000000000001,0.052309447764904649,398.30000000000001,0.17120500216347967,398.30000000000001,0.21999817377760178,398.30000000000001,0.31268906121910645,398.30000000000001,0.28758150689629414
399.39999999999998,-0.0054734004399077385,399.39999999999998,0.058419528332254167,399.39999999999998,0.17864057911889364,399.39999999999998,0.22593272810023612,399.39999999999998,0.32236127398323022,399.39999999999998,0.29523107429775042
400.60000000000002,0.0017852301649359248,400.60000000000002,0.066466209394566045,400.60000000000002,0.18877807761253251,400.60000000000002,0.23204673496150985,400.60000000000002,0.33379691439320913,400.60000000000002,0.30509779756407474
401.69999999999999,0.0086431137679710002,401.69999999999999,0.073971896556374928,401.69999999999999,0.19799433027192337,401.69999999999999,0.23942506936694818,401.69999999999999,0.34496449675881835,401.69999999999999,0.31452523913701991
402.80000000000001,0.015456440952876127,402.80000000000001,0.081134272768253135,402.80000000000001,0.20693066652351355,402.80000000000001,0.24650023424498335,402.80000000000001,0.35445359233449247,402.80000000000001,0.3249410679197513
403.89999999999998,0.020710302480216214,403.89999999999998,0.086030737934344348,403.89999999999998,0.21384419138165733,403.89999999999998,0.2523741705749909,403.89999999999998,0.36171153567734926,403.89999999999998,0.33240943011674218
405.10000000000002,0.023591419402350322,405.10000000000002,0.089785673165801771,405.10000000000002,0.21875832588903443,405.10000000000002,0.25485533278944961,405.10000000000002,0.36644030498928926,405.10000000000002,0.33708076264550901
406.19999999999999,0.026899247709252005,406.19999999999999,0.09179068660993428,406.19999999999999,0.2225366106562825,406.19999999999999,0.25720857645292727,406.19999999999999,0.37133716421704355,406.19999999999999,0.34082052411182162
407.30000000000001,0.030745421055909938,407.30000000000001,0.09455686505785077,407.30000000000001,0.22680238834230715,407.30000000000001,0.26145726688661175,407.30000000000001,0.37700481826455978,407.30000000000001,0.34588274020939846
408.39999999999998,0.034265265061892203,408.39999999999998,0.09740846925070068,408.39999999999998,0.23108414411079981,408.39999999999998,0.26580765451054278,408.39999999999998,0.38233082907875016,408.39999999999998,0.35142938826671788
409.60000000000002,0.036851613325388666,409.60000000000002,0.10195333987556898,409.60000000000002,0.23576315789835456,409.60000000000002,0.26950115158834342,409.60000000000002,0.38798454324727327,409.60000000000002,0.3568864992043892
410.69999999999999,0.038121184462949431,410.69999999999999,0.1056067476255953,410.69999999999999,0.23982253677385712,410.69999999999999,0.27169813705301915,410.69999999999999,0.39152758287979283,410.69999999999999,0.3606636896863451
411.80000000000001,0.040273119568755567,411.80000000000001,0.10875727106440847,411.80000000000001,0.2434287536917048,411.80000000000001,0.27417798580059749,411.80000000000001,0.39485821742294669,411.80000000000001,0.36394753373167488
412.89999999999998,0.04019434732538385,412.89999999999998,0.10913184687450306,412.89999999999998,0.24439336449045257,412.89999999999998,0.27542429428233972,412.89999999999998,0.39590362502703424,412.89999999999998,0.36541634615364926
414.10000000000002,0.041750284361237178,414.10000000000002,0.11057213953061185,414.10000000000002,0.2465874097986831,414.10000000000002,0.27775144900439708,414.10000000000002,0.39853112171373084,414.10000000000002,0.36755267423442883
415.19999999999999,0.042828257686833737,415.19999999999999,0.11277245817416115,415.19999999999999,0.24893773479573755,415.19999999999999,0.28042882001302583,415.19999999999999,0.40144069878500899,415.19999999999999,0.37138860156908993
416.30000000000001,0.045678617429691037,416.30000000000001,0.1150760217374609,416.30000000000001,0.25280491842961639,416.30000000000001,0.28415227076188332,416.30000000000001,0.40497346171804227,416.30000000000001,0.37567115373019155
417.39999999999998,0.046828032797774366,417.39999999999998,0.11682148546375037,417.39999999999998,0.25529545658318775,417.39999999999998,0.28707647479894316,417.39999999999998,0.40746275042055591,417.39999999999998,0.37922012557845886
418.60000000000002,0.048054798840063029,418.60000000000002,0.11754699338292252,418.60000000000002,0.25721298165458584,418.60000000000002,0.28922480980384924,418.60000000000002,0.40835628656099376,418.60000000000002,0.38097590451086805
419.69999999999999,0.048032644894695498,419.69999999999999,0.1176836332917095,419.69999999999999,0.25766838288219285,419.69999999999999,0.29039460877951551,419.69999999999999,0.40854651727569147,419.69999999999999,0.38277270916799266
420.80000000000001,0.048584230031038844,420.80000000000001,0.11791483360018518,420.80000000000001,0.25842884627763874,420.80000000000001,0.29160535374339447,420.80000000000001,0.40935899461009151,420.80000000000001,0.38423849343240724
421.89999999999998,0.049933173814345366,421.89999999999998,0.11916720853949281,421.89999999999998,0.26011880999578474,421.89999999999998,0.2935640508205748,421.89999999999998,0.41200822382576385,421.89999999999998,0.38644982665787797
423.10000000000002,0.051352104754575745,423.10000000000002,0.1210577055259987,423.10000000000002,0.26277179810079465,423.10000000000002,0.29654515764565836,423.10000000000002,0.41418361048298102,423.10000000000002,0.38866313701679944
424.19999999999999,0.052489355550958239,424.19999999999999,0.12265976533659173,424.19999999999999,0.26462904828752576,424.19999999999999,0.29811607660213668,424.19999999999999,0.41487312760083195,424.19999999999999,0.39076665120755827
425.30000000000001,0.052548052130535927,425.30000000000001,0.12305527666200322,425.30000000000001,0.26523724278714123,425.30000000000001,0.29844930871782083,425.30000000000001,0.41436891969500089,425.30000000000001,0.39082704030772475
426.39999999999998,0.052335273014292527,426.39999999999998,0.12279529932814559,426.39999999999998,0.26501851511882268,426.39999999999998,0.29862265585379721,426.39999999999998,0.41345392414906046,426.39999999999998,0.39023878270581069
427.60000000000002,0.052356827822488849,427.60000000000002,0.12320315751474342,427.60000000000002,0.26487828357100618,427.60000000000002,0.29882173842098414,427.60000000000002,0.41358266280505251,427.60000000000002,0.38931970065679522
428.69999999999999,0.052720502785371659,428.69999999999999,0.12296847467611527,428.69999999999999,0.26431977968410969,428.69999999999999,0.29965365538802291,428.69999999999999,0.4134410478837498,428.69999999999999,0.39007916514731877
429.80000000000001,0.053225376910027489,429.80000000000001,0.12370995282481245,429.80000000000001,0.26503833239008445,429.80000000000001,0.30001036751563315,429.80000000000001,0.41413516704485986,429.80000000000001,0.39074021632187073
430.89999999999998,0.053564368255616168,430.89999999999998,0.1231662651411467,430.89999999999998,0.26492406521390399,430.89999999999998,0.30057891701505368,430.89999999999998,0.41372544261633704,430.89999999999998,0.39124578318167624
432.10000000000002,0.053088110829810242,432.10000000000002,0.12314198276219801,432.10000000000002,0.26424473626874767,432.10000000000002,0.30035065449524811,432.10000000000002,0.41311151697658111,432.10000000000002,0.39046769928954683
433.19999999999999,0.053506521484477654,433.19999999999999,0.12287244098751571,433.19999999999999,0.26346068437743542,433.19999999999999,0.29957259398753955,433.19999999999999,0.41141315446277926,433.19999999999999,0.38990022169708349
434.30000000000001,0.052955258481618639,434.30000000000001,0.12246356536899672,434.30000000000001,0.26250009567343491,434.30000000000001,0.29843963959698372,434.30000000000001,0.40974816902663513,434.30000000000001,0.38891615723834083
435.39999999999998,0.054022415207305441,435.39999999999998,0.12314222523142893,435.39999999999998,0.26303149154217187,435.39999999999998,0.29864364957081202,435.39999999999998,0.40843616643011016,435.39999999999998,0.3884727407827635
436.60000000000002,0.054431192583293653,436.60000000000002,0.12345146172436205,436.60000000000002,0.26246907616543536,436.60000000000002,0.29876891072588041,436.60000000000002,0.40718991975937069,436.60000000000002,0.38764506608925364
437.69999999999999,0.055118059763552552,437.69999999999999,0.12333829645142114,437.69999999999999,0.26268759685941467,437.69999999999999,0.29910980382683849,437.69999999999999,0.40663344167230697,437.69999999999999,0.38741420379516245
438.80000000000001,0.055122699400235176,438.80000000000001,0.12353007470090072,438.80000000000001,0.26181211588287434,438.80000000000001,0.29923785908398126,438.80000000000001,0.40599678352569857,438.80000000000001,0.38594917904349324
439.89999999999998,0.055467885269682826,439.89999999999998,0.12374524722252933,439.89999999999998,0.26138594209478394,439.89999999999998,0.29893235136005392,439.89999999999998,0.40547503058968504,439.89999999999998,0.38445974577525188
441.10000000000002,0.05619468818989648,441.10000000000002,0.12497995497846093,441.10000000000002,0.26039104936537738,441.10000000000002,0.29808470417450317,441.10000000000002,0.40286690055990482,441.10000000000002,0.38356387869010322
442.19999999999999,0.057064285585859187,442.19999999999999,0.12502756533404358,442.19999999999999,0.26008898681982928,442.19999999999999,0.29610081513627629,442.19999999999999,0.40077287673004314,442.19999999999999,0.38262160428885683
443.30000000000001,0.05746093560394816,443.30000000000001,0.12489539103359792,443.30000000000001,0.25993131315961748,443.30000000000001,0.29522174722351746,443.30000000000001,0.39793820387499879,443.30000000000001,0.38043788626291852
444.39999999999998,0.057645573036841258,444.39999999999998,0.12406588006230512,444.39999999999998,0.25918489536188472,444.39999999999998,0.29371169189422175,444.39999999999998,0.39629238065727401,444.39999999999998,0.37720257339022911
445.60000000000002,0.05716670958447212,445.60000000000002,0.12267964639293316,445.60000000000002,0.25761347302126936,445.60000000000002,0.29214370307421111,445.60000000000002,0.39312367392785297,445.60000000000002,0.3742503892518938
446.69999999999999,0.056534633641615706,446.69999999999999,0.12177067184159385,446.69999999999999,0.2551907189919016,446.69999999999999,0.28888062629208822,446.69999999999999,0.38936276746240273,446.69999999999999,0.37131066557056269
447.80000000000001,0.056054562037596956,447.80000000000001,0.12054424417531462,447.80000000000001,0.2528664444424229,447.80000000000001,0.28563754575461564,447.80000000000001,0.38470072766858854,447.80000000000001,0.36730302481325716
448.89999999999998,0.05556154085316134,448.89999999999998,0.11957118171894932,448.89999999999998,0.25009848593478679,448.89999999999998,0.28250715956210315,448.89999999999998,0.37998149412321003,448.89999999999998,0.3624432383861349
450.10000000000002,0.055798121242716103,450.10000000000002,0.11901384794470826,450.10000000000002,0.24666063677004835,450.10000000000002,0.27983288436077713,450.10000000000002,0.37599567703570158,450.10000000000002,0.35834830161898723
451.19999999999999,0.05546835636322256,451.19999999999999,0.11808318558160491,451.19999999999999,0.24306343353538429,451.19999999999999,0.27711891590642823,451.19999999999999,0.37047644544272962,451.19999999999999,0.35324205430786981
452.30000000000001,0.055573822903877135,452.30000000000001,0.11650016833965338,452.30000000000001,0.2398844826993749,452.30000000000001,0.27382976761860123,452.30000000000001,0.36497974560238777,452.30000000000001,0.34784913103081894
453.39999999999998,0.054473517541220762,453.39999999999998,0.11351549356553692,453.39999999999998,0.23663315296454401,453.39999999999998,0.26945753139913942,453.39999999999998,0.35814180730840217,453.39999999999998,0.3410121491134015
454.60000000000002,0.053834632576115649,454.60000000000002,0.11098642067604447,454.60000000000002,0.23262187031655701,454.60000000000002,0.26546775427477409,454.60000000000002,0.35247693902935717,454.60000000000002,0.33489823144724862
